"site","meanMaxTemp","maxMaxTemp","meanDays18","yearsMaxTemp18","freqMax18","meanResist","meanRMSE","totObs","flag"
"MADEP_W2131_T1",23.0718070764439,24.6354090680728,81.2352941176471,34,1,205.962248518762,1.34877794040536,75,""
"MADEP_W2132_T1",21.3677597033733,22.8832760987661,43.9705882352941,34,1,370.674185932594,1.09509929697905,41,""
"MADEP_W2133_T1",26.2604972774758,27.6845406198109,104.088235294118,34,1,166.012202295751,1.22803021099154,131,""
"MADEP_W2135_T1",24.7597361084135,27.4086874834854,119.205882352941,34,1,232.808549493474,1.63739157403203,150,"Flag"
"MADEP_W2136_T1",24.9041358764055,26.0653807944379,103.352941176471,34,1,181.146810497046,1.23539890486936,150,""
"MADEP_W2137_T1",21.7552954796139,23.9303434522833,56.7058823529412,34,1,334.352244297213,1.04431147165056,131,""
"MADEP_W2140_T1",20.2341555262006,27.84188608788,54.8529411764706,34,1,383.961497205423,1.46949940656752,150,"Flag"
"MADEP_W2141_T1",23.2704369558092,24.6391693999405,85.1764705882353,34,1,236.488459189348,1.24324185349063,119,""
"MADEP_W2144_T1",26.5236443063059,27.9098976032202,108.058823529412,34,1,187.574102443342,1.16325514743759,130,""
"MADEP_W2145_T1",21.5593349515058,24.8446209628419,59.5588235294118,34,1,332.181224777715,1.15405471640132,130,""
"MADEP_W2146_T1",25.9278640564587,27.2982950283708,108.147058823529,34,1,201.586147058119,1.09458352457229,119,""
"MADEP_W2147_T1",26.6987494879585,28.1359107627862,108.794117647059,34,1,189.131416022522,1.14663517982824,108,""
"MADEP_W2148_T1",26.6136730108165,28.0609007876925,108.323529411765,34,1,202.263963456247,1.16695540252709,130,""
"MADEP_W2149_T1",25.4110190861651,26.7595174810731,98.6176470588235,34,1,151.071981552984,1.38266478038687,126,""
"MADEP_W2152_T1",25.1428706276044,26.4606881029805,110.029411764706,34,1,189.579920407631,1.34929787657749,150,""
"MADEP_W2154_T1",23.0155976429947,24.5578469324151,80.1764705882353,34,1,248.221683785686,1.11490007123528,26,""
"MADEP_W2155_T1",19.8502639580528,26.5566161089501,31.5588235294118,34,1,441.121436499939,1.4429219475433,150,""
"MADEP_W2156_T1",27.8498026855796,29.3117501224126,134.029411764706,34,1,365.564536968678,1.2545536030132,150,""
"MADEP_W2157_T1",27.4746218798575,29.1528146764013,121.705882352941,34,1,265.927871730984,1.09356108760071,150,""
"MADEP_W2159_T1",19.4885339941265,24.0352917078268,15.2352941176471,34,1,512.032693251055,1.47714559268045,130,"Flag"
"MADEP_W2160_T1",24.8368217616737,26.4225371728994,85.2647058823529,34,1,140.676163392343,1.27436769191668,119,""
"MADEP_W2162_T1",25.1136476157519,26.6141211369738,97.9705882352941,34,1,192.284049015441,1.08939091525101,119,""
"MADEP_W2167_T1",25.7225638494686,26.9994957566025,110.205882352941,34,1,200.751847413736,1.25283297996324,22,""
"MAFW_Cent55",24.8346887436431,26.2034240890092,105.676470588235,34,1,198.122131558982,1.5705490825703,238,"Flag"
"MAFW_Cent60",24.2060061635268,25.5108253684155,99.2941176470588,34,1,195.637950374451,1.45821412618235,238,"Flag"
"MAFW_Cent65",23.4741854215454,24.8953678727594,89.8823529411765,34,1,210.876329237405,1.42315368568727,247,""
"MAFW_Cent70",24.8716060222811,26.2909399668676,97.4411764705882,34,1,152.287917453321,1.53026508360419,256,"Flag"
"MAFW_Emer55",24.3780721138745,25.6954871253601,98.5882352941177,34,1,177.469447001886,1.08119543312373,263,""
"MAFW_Emer60",26.7317388801416,28.3691670682315,118.205882352941,34,1,271.167446388291,1.07309801085888,292,""
"MAFW_Emer70",24.82931008186,26.2107991095831,104.029411764706,34,1,181.832258671558,1.06487917259759,265,""
"MAFW_Emer75",25.0834987344145,26.7004391276393,102.647058823529,34,1,169.888592960532,0.902371452533988,286,""
"MAFW_Laur55",22.1924059927214,24.0558615133333,63.3235294117647,34,1,260.171101845925,1.15425597805823,263,""
"MAFW_Laur60",22.3599023263831,24.7303135180222,72.5882352941177,34,1,248.011162772602,1.36582375422883,263,""
"MAFW_MAAlbe55",19.3888473061407,22.0971906473154,14.5,34,1,422.366750310164,0.535182435271251,55,""
"MAFW_MABron55",18.3734688083712,22.0055939364356,5.26086956521739,23,0.676470588235294,430.92643339142,1.21224618137592,374,""
"MAFW_MAClak55",19.9631522210927,21.8329355932718,20.9117647058824,34,1,338.275551143626,0.95707935984458,244,""
"MAFW_MACobb55",23.7871008655946,25.1547067605313,81.5882352941177,34,1,155.255784747911,1.40984343016775,464,""
"MAFW_MACold55",17.8786356536637,25.0278559386929,8.66666666666667,6,0.176470588235294,615.157199484874,1.33566964776827,459,""
"MAFW_MAColl55",21.7433949642298,23.3073017869576,52.2647058823529,34,1,218.010735529462,1.20367497382485,489,""
"MAFW_MADunb55",18.2202760842949,22.8250312109322,4,19,0.558823529411765,314.04954560743,0.978034288762211,210,""
"MAFW_MAFife55",15.8292159583361,22.1553723166945,24,1,0.0294117647058824,520.634131471625,1.06216981285089,461,""
"MAFW_MAFull55",20.8734725102739,22.6816011437241,34.7647058823529,34,1,273.203911556261,1.33161139235804,76,""
"MAFW_MAGulf55",19.9051231191981,22.2989161186197,20.9705882352941,34,1,372.936659936868,0.822838685787224,468,""
"MAFW_MAHawk55",17.8019070383653,22.2594412830873,3.54545454545455,11,0.323529411764706,493.399352085366,0.542129763176064,56,""
"MAFW_MAKear55",18.1369811395289,21.4998676668713,3.85,20,0.588235294117647,444.235011847909,4.54496976980082,497,"Flag"
"MAFW_MAKeyu55",19.6090258886421,22.3108625367633,17.2352941176471,34,1,376.465427227192,1.03811565437751,98,""
"MAFW_MAMaxw55",19.1154286975627,21.3032918542852,9.60606060606061,33,0.970588235294118,418.155054804314,1.54490958553826,214,"Flag"
"MAFW_MAMayn55",23.3792989354199,24.898540524466,75.5882352941177,34,1,155.751245807852,0.986486199691036,480,""
"MAFW_MAPark55",22.529263901291,23.8224995712685,68.9411764705882,34,1,197.318357291055,1.36024324376157,462,""
"MAFW_MASWac55",20.7525133858723,22.732425578539,35.9117647058824,34,1,293.988696246178,0.838122678364501,455,""
"MAFW_MAShak55",19.7840385403874,21.7064423613955,16.0882352941176,34,1,324.812837035958,0.785434940211833,69,""
"MAFW_MAStee55",19.2634184693906,21.7610569550354,11.4705882352941,34,1,368.714406651843,0.550599634470682,54,""
"MAFW_MATowe55",20.313637437549,22.5180673649783,28.0294117647059,34,1,318.89100228315,0.785145597351125,255,""
"MAFW_MAUntM55",19.228047847461,22.2132364961744,12.9393939393939,33,0.970588235294118,451.055936837124,1.00343026784495,484,""
"MAFW_MAWarr55",20.8458703510039,23.7905737987267,43.6470588235294,34,1,369.138396661157,0.973521461092005,470,""
"MAFW_MAWeke55",22.4981858734553,24.6619004161028,76.2058823529412,34,1,234.313662110556,0.765520926798387,223,""
"MAFW_MAWhet55",20.1776903550762,22.2597187865487,25.0294117647059,34,1,370.724409482441,0.762118716905991,475,""
"MAFW_MAWhit55",17.89221712841,22.247648921016,4.27272727272727,11,0.323529411764706,469.269947347811,0.473535192532272,54,""
"MAFW_MAWilB55",18.4229005839345,22.0756244437582,6,23,0.676470588235294,447.11022760866,0.96650264014593,87,""
"MAFW_Mudd55",21.6746825756081,24.08547503286,57.8235294117647,34,1,319.103421941981,1.15719205963563,262,""
"MAFW_Mudd60",21.3053408429692,24.1424859133828,52.2352941176471,34,1,355.804813235421,1.02214592298805,257,""
"MAFW_Mudd65",20.9677691801036,24.4570538455357,46.5882352941176,34,1,387.927182318301,1.12343279766104,261,""
"MAFW_Scad60",19.9782730915816,23.9416448623414,27.2352941176471,34,1,435.829678998538,1.1864631122596,245,""
"MAFW_Scad65",21.2199230714925,23.6478618713923,48.9411764705882,34,1,334.121691243075,1.0725610093929,264,""
"MAFW_Sprg55",21.6823655645291,24.1235269454827,58.4705882352941,34,1,323.03626461392,1.10446923583993,257,""
"MAFW_UCen55",21.6924818809901,24.8949764647071,42.3235294117647,34,1,401.54451643032,2.00746533004928,218,"Flag"
"MAUSGS_SEC_30_DL",18.7284810384274,23.0122341510234,7.86206896551724,29,0.852941176470588,484.656783526248,1.8433802849502,1879,"Flag"
"MAUSGS_WB_JIMMY",18.7318647741312,22.1534802736999,7.75,28,0.823529411764706,508.341886051453,1.70318897551792,1294,"Flag"
"MAUSGS_WB_MITCHELL",20.3443940960786,23.5108398737079,34.5882352941176,34,1,347.056745863155,2.06454054180288,1381,"Flag"
"MAUSGS_WB_OBEAR",18.7545254249129,22.2614091152264,8.21428571428571,28,0.823529411764706,496.98576975603,1.86854445734885,1219,"Flag"
"MAUSGS_WEST_BROOK",20.1351731440724,23.0126010951977,28.7941176470588,34,1,374.232432971548,1.0527437970862,759,""
