"site","totalObs","meanMaxTemp","maxMaxTemp","meanDays18","yearsMaxTemp18","freqMax18","meanResist","meanRMSE","flag"
"MADEP_W2073_T1",110,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W2074_T1",110,22.3700257053446,23.9347961961479,80.2647058823529,34,1,195.074529625398,0.56018831739755,""
"MADEP_W2075_T1",110,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W2076_T1",103,18.8762546176637,22.8624537266207,10.6875,32,0.941176470588235,434.996374996213,0.913806615681141,"Flag"
"MADEP_W2077_T1",110,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W2078_T1",53,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W2079_T1",110,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W2080_T1",103,22.5912558973608,24.4587146778631,99.5882352941177,34,1,179.92642474884,0.39868309842185,""
"MADEP_W2082_T1",110,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W2084_T1",110,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W2085_T1",110,17.3826701702765,18.8210523632517,1.25,4,0.117647058823529,687.517181162938,0.447746468753684,""
"MADEP_W2086_T1",110,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W2087_T1",110,20.5577810641374,22.9467725454605,59.6176470588235,34,1,299.454424795098,0.637104983486232,""
"MADEP_W2121_T1",76,21.6072756026171,22.8878647202391,62.0882352941176,34,1,291.396947539373,0.434719408374105,""
"MADEP_W2128_T1",51,21.2676316122814,22.8820845907582,45.7352941176471,34,1,366.81198214909,0.424936756581724,""
"MADEP_W2129_T1",133,24.0409080138342,25.6302781062522,89.5588235294118,34,1,161.416739187799,0.436453618078761,""
"MADEP_W2130_T1",133,22.7281190910922,24.391169025383,83.1764705882353,34,1,233.470170144459,0.576308689909473,""
"MADEP_W2131_T1",77,23.6791586813667,25.3636646405503,89.2941176470588,34,1,177.856972493025,0.571302277209651,""
"MADEP_W2132_T1",43,20.8807248178698,22.4079286076129,38.3823529411765,34,1,403.295411137132,0.377424723573943,""
"MADEP_W2133_T1",133,26.0873768529104,28.0366049975228,102.294117647059,34,1,162.268286882967,0.608205231646994,""
"MADEP_W2134_T1",133,26.198419735541,28.1719132537108,121.352941176471,34,1,298.182306366831,0.52570059144395,""
"MADEP_W2135_T1",152,25.1086671510439,26.2663183274144,116.529411764706,34,1,236.950538842056,0.550726644616761,""
"MADEP_W2136_T1",152,24.8020144777634,26.2321583998531,99.5588235294118,34,1,172.596826946132,0.475166072625515,""
"MADEP_W2137_T1",133,21.7784233347547,23.2687287207695,57.0294117647059,34,1,325.273431849671,0.490367736522383,""
"MADEP_W2138_T1",133,25.5936581894806,27.2909588225201,113.676470588235,34,1,242.445202178329,0.566669822510484,""
"MADEP_W2140_T1",152,20.738966685187,22.3687450544881,58.4117647058824,34,1,343.557343047515,0.938402093160763,"Flag"
"MADEP_W2141_T1",121,23.2654502499909,24.6960487792989,87.8529411764706,34,1,217.302931629816,0.668843510727799,""
"MADEP_W2143_T1",132,24.4377290640088,26.5514071906632,93,34,1,163.773297033767,0.567134455599546,""
"MADEP_W2144_T1",132,25.7232257985762,27.7605710648218,113.735294117647,34,1,227.939721673292,0.530669512945729,""
"MADEP_W2145_T1",132,21.026544222109,22.94048660131,40.2058823529412,34,1,422.058265296107,0.480171703588166,""
"MADEP_W2146_T1",121,24.4296264066446,26.6026156072682,100.147058823529,34,1,188.847246152013,0.52581745716759,""
"MADEP_W2147_T1",110,25.5079210375663,27.6169597178174,108.852941176471,34,1,199.362333313699,0.534688872154833,""
"MADEP_W2148_T1",132,24.4042866460435,27.3720488422874,99.3235294117647,34,1,187.85220045929,0.689072208514015,""
"MADEP_W2149_T1",128,25.2068080287625,27.1048164190912,98.9411764705882,34,1,157.903701943869,0.674850852620525,""
"MADEP_W2150_T1",121,26.5239218930703,28.146868958407,133.588235294118,34,1,345.433919690294,0.742488777085946,""
"MADEP_W2151_T1",121,24.2449625609378,25.652048870719,101.352941176471,34,1,205.733761814562,0.525830948017547,""
